제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,[대표리뷰 2] 자극은 없고 발림성도 나쁘지 않았던 것 같습니다. 기초도 탄탄히 했는데 제가 극지성인데 기름에 약한지 무너질 때 몽글몽글 뭉치면서 무너지더라구요. 너무 아쉬웠습니다. 동생이 건성이라 동생한테 써보라고 줬는데 동생은 만족하고 좋대요! 다만 이걸 바르고 난 후인지 다른 거 때문인지는 모르겠으나 바르고 화농성 여드름이 나서 확인해보시는 거 추천드립니당.,밀도: 5,리뷰ID: SC_251109_001,태그: nan,별점: 3점,1.2
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,"[대표리뷰 3] 톤업되는 선크림을 찾다가 아누아 제품을 구매했는데, 예상보다 훨씬 만족스러웠어요. 일단 발림성이 정말 좋고, 백탁 없이 자연스럽게 피부 톤을 정리해줍니다. 매트벗글로우라는 이름처럼 과하지 않은 윤광이 돌아서 피부가 깨끗해 보이는 효과가 있어요. 커버력이 강한 편은 아니지만, 모공이나 피부 톤을 균일하게 만들어줘서 가벼운 외출 시에는 파운데이션 없이 이것만 발라도 충분하다고 느꼈어요. 유분감이 많지 않아서 마스크 착용 시에도 답답하지 않고, 시간이 지나도 다크닝이 거의 없었습니다. 민감성 피부인데도 트러블 없이 잘 사용 중이라 더 만족스러워요. 자외선 차단 기능도 확실해서 데일리 선크림으로 손이 자주 가는 제품입니다. 자연스러운 피부 표현을 좋아하시는 분들께 추천해요. 사진은 사용한지 12시간 지난 상태입니다",밀도: 5,리뷰ID: SC_251223_008,태그: nan,별점: 5점,1.2
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,가을웜톤,34명,"자극/부작용 (8)
유분/피지 (7)
추천/재구매 (7)
순함/저자극 (5)
진정/장벽 (3)","자극/부작용 (3)
유분/피지 (2)
순함/저자극 (1)
추천/재구매 (1)
흡수/발림성 (1)",만족,0.8
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,각질,24명,"자극/부작용 (12)
순함/저자극 (6)
상황/편의 (5)
추천/재구매 (5)
유분/피지 (3)","유분/피지 (3)
트러블/모공 (2)
자극/부작용 (1)
진정/장벽 (1)",매우만족,1.69
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,건성,54명,"추천/재구매 (18)
자극/부작용 (12)
유분/피지 (10)
순함/저자극 (9)
상황/편의 (7)","흡수/발림성 (2)
상황/편의 (1)
트러블/모공 (1)",만족,1.29
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,겨울쿨톤,12명,"추천/재구매 (5)
자극/부작용 (3)
흡수/발림성 (2)
상황/편의 (1)
유분/피지 (1)",트러블/모공 (1),매우만족,1.58
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,다크서클,6명,"추천/재구매 (5)
순함/저자극 (1)",상황/편의 (1),매우만족,1.67
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,모공,20명,"순함/저자극 (6)
상황/편의 (6)
추천/재구매 (5)
가성비/가격 (4)
자극/부작용 (3)",-,만족,1.0
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,미백,68명,"추천/재구매 (22)
자극/부작용 (17)
순함/저자극 (14)
트러블/모공 (11)
유분/피지 (10)","자극/부작용 (4)
유분/피지 (3)
트러블/모공 (3)
상황/편의 (3)
순함/저자극 (2)",만족,0.85
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,민감성,36명,"추천/재구매 (15)
자극/부작용 (10)
순함/저자극 (7)
상황/편의 (5)
유분/피지 (4)","유분/피지 (2)
자극/부작용 (1)
트러블/모공 (1)
추천/재구매 (1)
상황/편의 (1)",만족,1.11
