리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
LL_251222_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,구매 가치/편의,추천/재구매,1,5점,긍정,3,추천,품질이 정말 좋아요 추천 드려요,가성비 최고인 제품이에요. 품질이 정말 좋아요 추천 드려요 !,3.0,"가성비, 추천"
LL_251222_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,제형/사용감,흡수/발림성,3,5점,긍정,1,"발림, 흡수",발림성도 좋고 흡수도 빨라요,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. 추천 드려요!,1.3,"끈적, 발림, 산뜻, 추천, 흡수"
LL_251222_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,"수분/유분 밸런스, 제형/사용감","끈적임/밀림, 유분/피지",3,5점,긍정,2,"끈적, 산뜻",끈적이지 않고 산뜻해요,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. 추천 드려요!,1.3,"끈적, 발림, 산뜻, 추천, 흡수"
LL_251222_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,구매 가치/편의,추천/재구매,3,5점,긍정,1,추천,추천 드려요,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. 추천 드려요!,1.3,"끈적, 발림, 산뜻, 추천, 흡수"
LL_251222_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,"복합성, 봄웜톤, 미백, 트러블",,피부 자극,자극/부작용,2,5점,보통,0,따갑,모낭염 같은거 올라면 약간 따갑긴 해요 근데,모낭염 같은거 올라면 약간 따갑긴 해요 근데 이만한 로션을 찾기 힘들어요 수분 충전 딱 되고 화농성 안올라와용 좋아요,0.5,"따갑, 화농성"
LL_251222_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,"복합성, 봄웜톤, 미백, 트러블",,피부 고민 해결,트러블/모공,2,5점,긍정,1,화농성,화농성 안올라와용 좋아요,모낭염 같은거 올라면 약간 따갑긴 해요 근데 이만한 로션을 찾기 힘들어요 수분 충전 딱 되고 화농성 안올라와용 좋아요,0.5,"따갑, 화농성"
LL_251222_005,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,한달이상사용,"구매 가치/편의, 수분/유분 밸런스","보습/속건조, 추천/재구매",2,5점,긍정,2,"만족, 촉촉",촉촉함이 오래가서 만족스러워요,촉촉함이 오래가서 만족스러워요. 보습력이 뛰어나요 추천 드려요 !,1.5,"만족, 보습, 촉촉, 추천"
LL_251222_005,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,한달이상사용,"구매 가치/편의, 수분/유분 밸런스","보습/속건조, 추천/재구매",2,5점,긍정,1,"보습, 추천",보습력이 뛰어나요 추천 드려요,촉촉함이 오래가서 만족스러워요. 보습력이 뛰어나요 추천 드려요 !,1.5,"만족, 보습, 촉촉, 추천"
LL_251222_006,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,구매 가치/편의,추천/재구매,1,5점,긍정,2,추천,매끈해져요 추천 드려요,바르고 나면 피부가 정말 부드러워요. 매끈해져요 추천 드려요 !,2.0,추천
LL_251222_007,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,구매 가치/편의,추천/재구매,2,5점,긍정,2,만족,매트한 마무리감이 아주 만족스럽습니다,매트한 마무리감이 아주 만족스럽습니다. 기름기가 없어요 추천 드려요 !,1.5,"기름, 기름기, 만족, 추천"
LL_251222_007,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.22,-,,재구매,"구매 가치/편의, 수분/유분 밸런스","유분/피지, 추천/재구매",2,5점,긍정,1,"기름, 기름기, 추천",기름기가 없어요 추천 드려요,매트한 마무리감이 아주 만족스럽습니다. 기름기가 없어요 추천 드려요 !,1.5,"기름, 기름기, 만족, 추천"
LL_251223_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,"복합성, 웜톤",한달이상사용,피부 자극,자극/부작용,2,5점,긍정,3,자극,자극 없어서,자극 없어서 좋아요 끈적임도 과하지 않아서 아주 잘 사용하고 있습니다,3.0,"끈적, 자극"
LL_251223_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,"복합성, 웜톤",한달이상사용,제형/사용감,끈적임/밀림,2,5점,긍정,3,끈적,좋아요 끈적임도 과하지 않아서,자극 없어서 좋아요 끈적임도 과하지 않아서 아주 잘 사용하고 있습니다,3.0,"끈적, 자극"
LL_251223_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,,한달이상사용,"구매 가치/편의, 피부 자극","상황/편의, 순함/저자극",3,3점,긍정,2,"순해, 향",무향무취이고 엄청 순해요,무향무취이고 엄청 순해요! 근데 이 제품 이후로 좁쌀 여드름이 생겨서 또 쓰지는 않을 거 같아요,0.5,"순해, 여드름, 좁쌀, 향"
LL_251223_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,,한달이상사용,피부 고민 해결,트러블/모공,3,3점,부정,-1,"여드름, 좁쌀",이 제품 이후로 좁쌀 여드름이 생겨서,무향무취이고 엄청 순해요! 근데 이 제품 이후로 좁쌀 여드름이 생겨서 또 쓰지는 않을 거 같아요,0.5,"순해, 여드름, 좁쌀, 향"
LL_251223_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,,재구매,피부 고민 해결,트러블/모공,1,5점,긍정,1,여드름,좋대요 어성초라 여드름피부에 더 좋을듯,남친 올인원 안맞는다해서 이거 사줬더니 엄청 꾸준히 잘 쓰고 좋대요 어성초라 여드름피부에 더 좋을듯,1.0,여드름
LL_251223_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.12.23,-,"여름쿨톤, 미백, 트러블",한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,5,정착,다른거 쓰면 약간 뭐가 나길래 정착했어요,무난하게 매일 쓰기 좋아서 계속 구매하고있슴다 근데 또 이거말고 다른거 쓰면 약간 뭐가 나길래 정착했어요,5.0,정착
