날짜,별점,스킨타입,태그,리뷰내용
2025.12.13,5점,"건성, 웜톤, 잡티, 주름",재구매,"아누아 건성에도 좋고 보습에도 좋아요
남편이랑 같이 쓰는데 남편도 잘쓰네요 ㅎㅎ"
2025.12.13,5점,,,"일단 자극이 없고 무향인 점이 마음에 듭니다
끈적임도 심하지 않고 보습력도 충분해요 그냥 데일리 로샨으로 쓰기 적합합니다!"
2025.12.13,5점,,,옛날에 써보고 좋았던 기억에 다시 샀는데 여전히 좋습니다. 보들보들해집니다.
2025.12.12,5점,"지성, 봄웜톤, 잡티, 미백",,"몇통째 비운 지성 인생 로션‼️🩷

✔️지성 피부 맞춤
무겁지 않게 산뜻하고 끈적임도 없어서 지성 피부가 쓰기에 아주 좋아요 !
✔️ 순한 진정 로션
어성초 성분이 함유되어 진정 효과에 좋아요.

🚫이런 분께는 추천드리지 않아요.
✔️ 탄탄한 보습감을 원하시는 건성 피부
건성분들은 많이 건조하실 수 있어요. 특히 겨울철엔 더욱 더!
사용하시려면 여름철에 추천드려요."
2025.12.12,5점,,,무난오브무난템 지성분들에게 더 적합할듯 독도로션이랑 가격비교 해보면서 구매하시면 좋을듯 막 발라주기 좋슴다
2025.12.12,5점,,,진정은 잘 모르겠지만 그냥 데일리 로션으로 쓰고 있어요1번째 재구매입니다
2025.12.12,5점,,"한달이상사용, 재구매",ㅋ 역시 아누어죠 진짜 많이 구매햇고 어송초 라인 너뮤쥬라요
2025.12.12,5점,,한달이상사용,젛아요 근데 겨울에 쓰기에눈 좀 건조햐요ㅠ 수부자인데도 너무
2025.12.12,5점,,,"아 진짜 그냥 제 인생 로션 그 자체
피부 관리 받으면서 로션 바꿔야 한다고 하셔서 급하게 쓰던 로션 다 쓰고 구매하러 간건데 가서 딱 눈에 보여서 이거 들고 직원분 한테 가서 혹시 이거 수부지 한테 괜찮을 까요? 하니깐
수분감도 있고 그래서 수부지 한테 괜찮을 거라고 하셔서 그냥 바로 구매 했거든여?
초반에 며칠 사용했을 때는 몰랐는데 사용한 지 한 달 정도 되니깐 얼굴에 뭐 여드름도 잘 안나고 피부결이 바뀐 걸 알아차림...
진짜 매끈함.. 그 사이에 토너패드도 바꾸고 앰플도 막 이것저것 써서 뭐가 나긴 했지만 지금은 다 바꾸고 로션은 양이 많아서 이것만 쓰는데 애들끼리 조합이 좋은지 바꾸고 나서는 얼굴에 아무것도 안나요 진짜.. 너무 사랑함
수부지 강추 진짜 뭐 사람마다 다르겠지만
전 진짜 너무 잘 쓰고 있어요 양도 많아서 구매한지 3달째인데 아직 반도 못 씀요..
이걸로 얇게 바르면서 팩처럼 올리고 자면 그 다음날 그냥 매끈촉촉 그 자체... 사랑합니다 진짜ㅏ

기존에는 여드름 때문에 이니ㅇㅇ리 로션 썼는데 그것 보다
진정도 잘되고 끈적임도 별로 없고 하 인생 로션,,,"
2025.12.11,5점,,,"민감성 여드름 피부인 동생에게 사줬습니당
뭐,,, 아무 말 없는 걸 보니 잘 쓰는 거 같아요"
2025.12.11,5점,"복합성, 쿨톤, 잡티, 주름",,처음 사용해 보는데 순하고 좋은것 같아요 살짝 묽은 제형이긴한데 불편하지 않습니다
2025.12.11,4점,,한달이상사용,흔히 생각하는 로션인데 진정기능도 있는것 같아요. 순합니다
2025.12.10,4점,,재구매,냄새도 나쁘지 않고 수분은 확실히 채워주는 것 같아요. 이 제품도 벌써 여러번 재구매 해서 쓰고 있는데 추천합니다. 트러블이 나지는 않지만 진정에 효과가 있는지는 잘 못 느끼겠습니다.
2025.12.10,5점,,,기초템으로 아누아 어성초 라인 너무 잘 쓰고 있어요 토너랑 같이 몇년째 꾸준히 사용중이예요
2025.12.10,5점,,,데일리로 쓰기에 자극 없고 좋습니다 어성초가 들어가서 진정이 되는듯
2025.12.07,5점,,한달이상사용,끈적임도 없고 바르면 촉촉한데 빠르게 흡수돼서 좋아요 가벼운 느낌 좋아하시면 추천해요
2025.12.07,5점,,,"너무 순해서 좋아요 여드름 개많은 피부인데 이거 너무 좋고 자극도 ㄴㄴㄴㄴㄴ 유분기도 금방 사라져서 데일리 ㄹㅈㄷ
근데
화장 전 베이스로는 비추 왜냐하면 유분기가 사라져서!!"
2025.12.07,5점,,,"너무너무 좋아요 또 살 거 같아요 추천합니다 우후후 좋아요 이거
반드시 사세요"
2025.12.06,5점,"민감성, 쿨톤, 잡티, 트러블",,자극 전혀 없고 가벼운 로션이라 아침에 너무 무겁지 않게 사용할 수 있어서 좋아요 위에 선크림 바르기엔 딱 좋은 듯?!
2025.12.06,5점,,,아빠가 겨울철 로션이 없으셔서 사다 드렸어요! 너무 찐득한거는 싫어하셔서 이 로션으로 택했답니다!
2025.12.06,5점,,,로션이 다 떨어져가서 사봤어요 매장에서 테스트해봤을 땐 촉촉하고 좋긴해여 가격도 세일해서 착해여
2025.12.06,5점,,,어성초 성분은 정말 믿고 삽니다. 더군다가 아누아라니!!! 겨울에 보습용으로 구매하였습니다.
2025.12.06,5점,,,여드름피부인데 어성초가 잘맞아서 그런가 여드름이 좀 들어가는거 같아요 발림성이 깔끔하고 촉촉해요 가벼운로션 제형이에요! 어성초가 잘맞으면 추천드릴게용 진짜 순해서 데일리로 쓰기 좋아요 저는 화장하기 전에 자주 발랐는데 쫀쫀해져서 화장이 잘먹더라고용 양도 은근 많아용
2025.12.06,5점,,,너무 부드러운 제형의 기본 로션이에요 자극 없이 순해용 정말 데일리로션
2025.12.05,5점,,,민감성 피부에 너뮤 연해서 세통째 쓰고있어요 순하고 촉촉해요 끈적임 없음
2025.12.04,5점,,한달이상사용,일단 용량이 많아서 좋구요. 자극없이 순하고 흡수도 빨라요. 다쓰고 재구매하려구요.
2025.12.04,5점,"복합성, 가을웜톤",,테스트 해봤을때 적당히 보습감 있고 괜찮은 느낌이었습니다 같은라인 토너사느라 이것도 맞춰서 사봣어요!! 어성초성분 잘맞고 패드 잘썼어서 믿고샀슨ㅂ니다.. 근대 뚜껑이 좀 뻑뻑하고 안들어감
2025.12.04,5점,,"한달이상사용, 재구매",N통째 비우는 중..순하고 부드럽게 느껴지고 딱히 단점이 없는 것 같아요
